FY,agency_code,employee_count
2023-2024,557,10
2023-2024,559,1620
2023-2024,562,1477
2023-2024,564,7005
2023-2024,565,3205
2023-2024,566,416
2023-2024,567,44
2023-2024,568,3
2023-2024,570,15
2023-2024,573,741
2023-2024,574,180
2023-2024,575,342
2023-2024,576,698
2023-2024,577,482
2023-2024,578,242
2023-2024,580,4674
2023-2024,581,288
2023-2024,583,10
2023-2024,584,6
2023-2024,587,2064
2023-2024,588,11
2023-2024,589,25
2023-2024,590,60
2023-2024,592,597
2023-2024,594,8
2023-2024,595,5
2023-2024,598,16
2023-2024,600,5
2023-2024,601,26
2023-2024,602,11
2023-2024,604,1
2023-2024,605,66
2023-2024,606,12
2023-2024,608,19
2023-2024,609,71
2023-2024,610,929
2023-2024,611,360
2023-2024,612,434
2023-2024,613,376
2023-2024,614,347
2023-2024,615,103
2023-2024,616,34
2023-2024,617,152
2023-2024,618,3
2023-2024,619,286
2023-2024,620,17
2023-2024,621,43
2023-2024,622,427
2023-2024,624,79
2023-2024,625,102
2023-2024,629,178
2023-2024,630,480
2023-2024,631,21
2023-2024,632,134
2023-2024,633,82
2023-2024,634,40
2023-2024,635,43
2023-2024,636,96
2023-2024,637,125
2023-2024,638,5
2023-2024,640,113
2023-2024,641,12
2023-2024,642,61
2023-2024,643,46
2023-2024,644,99
2023-2024,645,29
2023-2024,646,555
2023-2024,647,49
2023-2024,650,26
2023-2024,651,1249
2023-2024,652,809
2023-2024,653,294
2023-2024,654,309
2023-2024,655,1033
2023-2024,656,636
2023-2024,657,156
2023-2024,659,350
2023-2024,660,22
2023-2024,664,22
2023-2024,667,82
2023-2024,673,1975
2023-2024,674,1340
2023-2024,675,10
2023-2024,680,1571
2023-2024,681,141
2023-2024,682,5
2023-2024,693,201
2023-2024,695,1025
2023-2024,696,42
2023-2024,697,7
2023-2024,701,329
2023-2024,702,641
2023-2024,703,65
2023-2024,712,1030
2023-2024,715,1
2023-2024,718,311
2023-2024,719,368
2023-2024,721,5
2023-2024,722,63
2023-2024,727,6
2023-2024,731,14
2023-2024,733,18
2023-2024,734,19
2023-2024,737,16
2023-2024,744,4
2023-2024,747,16
2023-2024,751,5
2023-2024,752,18
2023-2024,753,3
2023-2024,754,23
2023-2024,757,10
2023-2024,762,2148
2023-2024,763,35
2023-2024,765,1
2023-2024,768,4
2023-2024,777,5
2023-2024,785,695
2023-2024,786,4
2023-2024,791,396
2023-2024,792,1308
2023-2024,795,1
2023-2024,796,2
2023-2024,797,274
2023-2024,798,4
2023-2024,799,140
2023-2024,800,6029
2023-2024,802,1549
2023-2024,805,1
2023-2024,808,4
2023-2024,810,1312
2023-2024,811,146
2023-2024,812,101
2023-2024,813,2084
2023-2024,814,467
2023-2024,817,665
2023-2024,820,227
2023-2024,822,5
2023-2024,823,15
2023-2024,824,3
2023-2024,827,6
2023-2024,830,498
2023-2024,831,63
2023-2024,832,59
2023-2024,833,5
2023-2024,835,922
2023-2024,836,4
2023-2024,837,31
2023-2024,842,2082
2023-2024,845,1
2023-2024,847,1
2023-2024,848,6
2023-2024,857,10
2023-2024,862,1186
2023-2024,863,7
2023-2024,865,1
2023-2024,866,18
2023-2024,868,5
2023-2024,870,2
2023-2024,871,2
2023-2024,877,21
2023-2024,880,2790
2023-2024,887,5
2023-2024,900,1593
2023-2024,901,538
2023-2024,902,678
2023-2024,903,2074
2023-2024,904,3136
2023-2024,905,986
2023-2024,906,1478
2023-2024,907,2810
2023-2024,908,1831
2023-2024,909,391
2023-2024,910,1087
2023-2024,911,1287
2023-2024,912,1048
2023-2024,913,1792
2023-2024,915,1802
2023-2024,916,17
2023-2024,917,160
2023-2024,918,21
2023-2024,919,1239
2023-2024,920,6
2023-2024,921,26
2023-2024,927,288
2023-2024,928,225
2023-2024,929,42
2023-2024,931,34
2023-2024,932,796
2023-2024,933,16
2023-2024,934,1426
2023-2024,935,7
2023-2024,936,1792
2023-2024,937,8
2023-2024,951,1
2023-2024,952,1697
2023-2024,955,1
2023-2024,958,4
2023-2024,960,2
2023-2024,963,5
2023-2024,964,7
2023-2024,966,53
2023-2024,967,29
2023-2024,968,31
2023-2024,969,8
2023-2024,970,1
2023-2024,977,9
2023-2024,992,992
2023-2024,995,1
2023-2024,996,374
2023-2024,998,6
2022-2023,1,91066
2022-2023,101,1264
2022-2023,103,10
2022-2023,104,31
2022-2023,106,1
2022-2023,110,17
2022-2023,116,581
2022-2023,128,1
2022-2023,129,1
2022-2023,131,16
2022-2023,132,45
2022-2023,133,6
2022-2023,135,132
2022-2023,140,2198
2022-2023,141,232
2022-2023,142,16
2022-2023,143,313
2022-2023,144,435
2022-2023,145,2
2022-2023,146,478
2022-2023,147,80
2022-2023,148,37
2022-2023,150,149
2022-2023,151,102
2022-2023,152,244
2022-2023,153,92
2022-2023,155,8
2022-2023,156,817
2022-2023,157,72
2022-2023,158,194
2022-2023,159,82
2022-2023,160,61
2022-2023,161,55
2022-2023,162,118
2022-2023,163,1502
2022-2023,174,1467
2022-2023,175,174
2022-2023,176,2
2022-2023,177,10
2022-2023,178,1244
2022-2023,179,15
2022-2023,180,1638
2022-2023,181,76
2022-2023,182,1528
2022-2023,183,19
2022-2023,184,238
2022-2023,185,24
2022-2023,186,7
2022-2023,187,142
2022-2023,188,1
2022-2023,189,11
2022-2023,190,1497
2022-2023,191,7
2022-2023,192,208
2022-2023,193,36
2022-2023,194,49
2022-2023,199,31
2022-2023,2,4158
2022-2023,202,34
2022-2023,204,370
2022-2023,205,396
2022-2023,223,6
2022-2023,240,186
2022-2023,242,150
2022-2023,243,185
2022-2023,252,1770
2022-2023,255,1
2022-2023,258,4
2022-2023,261,1
2022-2023,262,1396
2022-2023,265,1
2022-2023,268,5
2022-2023,270,144
2022-2023,271,1
2022-2023,272,1662
2022-2023,275,2
2022-2023,277,1
2022-2023,278,5
2022-2023,279,442
2022-2023,280,9579
2022-2023,281,101
2022-2023,282,813
2022-2023,283,102
2022-2023,284,1627
2022-2023,285,4
2022-2023,287,46
2022-2023,288,4
2022-2023,290,165
2022-2023,291,3924
2022-2023,292,100
2022-2023,293,37
2022-2023,295,3
2022-2023,297,145
2022-2023,3,926
2022-2023,300,420
2022-2023,301,1
2022-2023,302,2106
2022-2023,305,23
2022-2023,306,1272
2022-2023,307,130
2022-2023,308,1717
2022-2023,309,7
2022-2023,311,386
2022-2023,312,79
2022-2023,314,148
2022-2023,315,73
2022-2023,316,5
2022-2023,317,15
2022-2023,318,18
2022-2023,319,34
2022-2023,321,27
2022-2023,325,92
2022-2023,326,311
2022-2023,327,15
2022-2023,329,7
2022-2023,331,134
2022-2023,333,333
2022-2023,337,39
2022-2023,338,77
2022-2023,339,172
2022-2023,340,207
2022-2023,342,60
2022-2023,343,18
2022-2023,347,9
2022-2023,348,196
2022-2023,349,4
