FY,agency_code,CFIS/ORG Code,employee_count
2023-2024,284,5344,1559
2023-2024,285,5254,6
2023-2024,287,5420,45
2023-2024,288,2665,6
2023-2024,290,860,159
2023-2024,291,7600,3760
2023-2024,292,870,107
2023-2024,293,855,34
2023-2024,295,6125,3
2023-2024,297,552,198
2023-2024,300,8860,417
2023-2024,302,954,14
2023-2024,305,7910,21
2023-2024,306,7760,1232
2023-2024,307,7760,140
2023-2024,308,7760,1597
2023-2024,309,3810,6
2023-2024,311,2665,380
2023-2024,312,4120,97
2023-2024,314,3100,126
2023-2024,315,7320,72
2023-2024,316,4180,5
2023-2024,317,3100,14
2023-2024,318,956,19
2023-2024,319,4250,26
2023-2024,321,971,28
2023-2024,325,8620,106
2023-2024,326,1700,319
2023-2024,327,8780,7
2023-2024,329,8820,10
2023-2024,331,7760,135
2023-2024,333,8880,330
2023-2024,337,511,26
2023-2024,338,515,76
2023-2024,339,8855,162
2023-2024,340,3560,214
2023-2024,342,968,68
2023-2024,343,959,15
2023-2024,347,3845,3
2023-2024,348,3720,191
2023-2024,349,5170,3
2023-2024,351,3850,5
2023-2024,352,8260,33
2023-2024,355,3835,4
2023-2024,356,8885,15
2023-2024,357,3125,52
2023-2024,358,850,965
2023-2024,361,3780,14
2023-2024,363,7501,388
2023-2024,364,6870,192
2023-2024,365,3830,5
2023-2024,368,650,233
2023-2024,370,500,149
2023-2024,373,509,205
2023-2024,381,5361,1243
2023-2024,382,5254,8
2023-2024,383,5420,47
2023-2024,388,2720,3503
2023-2024,389,2720,6746
2023-2024,390,5254,5
2023-2024,391,5420,34
2023-2024,392,5420,8
2023-2024,393,5420,14
2023-2024,394,5359,1091
2023-2024,395,1750,47
2023-2024,397,559,35
2023-2024,398,5254,5
2023-2024,399,5420,37
2023-2024,400,7350,2780
2023-2024,401,2240,1173
2023-2024,403,5342,1261
2023-2024,404,5254,7
2023-2024,405,5420,15
2023-2024,409,4150,643
2023-2024,410,1701,801
2023-2024,411,1703,33
2023-2024,413,845,1190
2023-2024,414,2320,330
2023-2024,415,3855,45
2023-2024,418,7504,47
2023-2024,421,8120,194
2023-2024,424,257,23
2023-2024,426,8140,102
2023-2024,427,8825,4
2023-2024,430,160,563
2023-2024,434,8830,9
2023-2024,435,5341,1374
2023-2024,436,5254,7
2023-2024,437,4540,2069
2023-2024,439,5420,9
2023-2024,440,750,10
2023-2024,441,4140,590
2023-2024,444,5355,1106
2023-2024,445,5254,7
2023-2024,455,4440,1840
2023-2024,461,4440,819
2023-2024,463,4440,1
2023-2024,472,4300,2219
2023-2024,475,4560,52
2023-2024,480,4440,2168
2023-2024,486,4440,1
2023-2024,487,4440,1952
2023-2024,488,4550,4
2023-2024,502,4440,2604
2023-2024,525,2740,8789
2023-2024,530,3885,65
2023-2024,531,3875,16
2023-2024,533,3340,471
2023-2024,534,540,102
2023-2024,535,3360,842
2023-2024,536,3760,81
2023-2024,538,3480,718
2023-2024,539,3840,7
2023-2024,541,3540,1379
2023-2024,542,3540,3455
2023-2024,543,3540,114
2023-2024,544,3540,102
2023-2024,548,3790,516
2023-2024,549,3790,6432
2023-2024,559,2660,1527
2023-2024,564,7730,6460
2023-2024,565,3600,2809
2023-2024,566,3600,400
2023-2024,567,3640,43
2023-2024,570,3825,13
2023-2024,573,8960,687
2023-2024,574,8965,170
2023-2024,575,8966,301
2023-2024,576,8955,622
2023-2024,577,8955,431
2023-2024,578,8955,214
2023-2024,580,4265,4403
2023-2024,581,4265,253
2023-2024,587,5349,1938
2023-2024,588,5254,11
2023-2024,589,5420,25
2023-2024,590,7503,59
2023-2024,592,1115,563
2023-2024,594,1110,6
2023-2024,595,2670,5
2023-2024,598,1110,16
2023-2024,600,1110,5
2023-2024,601,1110,25
2023-2024,602,1110,11
2023-2024,604,1110,1
2023-2024,605,1110,59
2023-2024,606,1110,12
2023-2024,608,1110,17
2023-2024,609,1110,59
2023-2024,610,1110,431
2023-2024,612,1110,188
2023-2024,615,1110,94
2023-2024,616,1110,24
2023-2024,617,1110,48
2023-2024,618,1110,3
2023-2024,619,1110,28
2023-2024,620,1110,11
2023-2024,621,1110,39
2023-2024,622,1110,399
2023-2024,624,1110,76
2023-2024,625,1110,73
2023-2024,629,1110,168
2023-2024,630,1110,207
2023-2024,631,1110,13
2023-2024,632,1110,129
2023-2024,633,1110,64
2023-2024,634,1110,30
2023-2024,635,1110,40
2023-2024,636,1110,90
2023-2024,637,1110,69
2023-2024,638,1110,5
2023-2024,640,1110,29
2023-2024,641,1110,12
2023-2024,643,1110,11
2023-2024,644,1110,97
2023-2024,645,1111,21
2023-2024,646,1110,519
2023-2024,647,1110,15
2023-2024,673,3900,1888
2023-2024,674,5335,1254
2023-2024,675,5254,9
2023-2024,680,8660,1493
2023-2024,681,462,127
2023-2024,693,2245,189
2023-2024,695,502,971
2023-2024,696,2600,40
2023-2024,701,2660,306
2023-2024,702,2660,602
2023-2024,703,521,63
2023-2024,718,7760,288
2023-2024,719,7760,340
2023-2024,721,1045,5
2023-2024,722,3820,54
2023-2024,785,890,639
2023-2024,786,911,3
2023-2024,791,531,379
2023-2024,792,4100,69
2023-2024,796,4185,2
2023-2024,797,4170,259
2023-2024,799,530,128
2023-2024,800,5180,5643
2023-2024,810,3960,1247
2023-2024,811,3980,133
2023-2024,812,555,91
2023-2024,813,5160,1893
2023-2024,814,3930,441
2023-2024,817,5175,621
2023-2024,820,950,213
2023-2024,822,981,4
2023-2024,823,984,14
2023-2024,824,957,3
2023-2024,830,8955,422
2023-2024,831,8955,60
2023-2024,835,3970,866
2023-2024,880,3940,2623
2023-2024,900,2660,1531
2023-2024,901,2660,503
2023-2024,902,2660,614
2023-2024,903,2660,1883
2023-2024,904,2660,2928
2023-2024,905,2660,924
2023-2024,906,2660,1404
2023-2024,907,2660,2638
2023-2024,908,2660,1719
2023-2024,909,2660,351
2023-2024,910,2660,957
2023-2024,911,2660,1201
2023-2024,912,2660,913
2023-2024,913,2660,1591
2023-2024,915,5365,1629
2023-2024,916,5254,8
2023-2024,917,5227,131
2023-2024,918,5420,17
2023-2024,919,5291,1150
2023-2024,920,5254,6
2023-2024,921,5420,21
2023-2024,927,2660,271
2023-2024,928,2660,220
2023-2024,929,2660,37
2023-2024,931,2660,31
2023-2024,932,2660,744
2023-2024,933,5420,15
2023-2024,934,5295,1328
2023-2024,935,5254,7
2023-2024,936,5292,1693
2023-2024,937,5254,8
2023-2024,963,5420,5
2023-2024,964,5420,7
2023-2024,966,5420,49
2023-2024,967,5420,12
2023-2024,968,5420,26
2023-2024,969,5420,8
2022-2023,006,8940,325
2022-2023,013,7300,59
2022-2023,014,8570,1398
2022-2023,016,4700,109
2022-2023,018,8570,445
2022-2023,022,2120,6
2022-2023,024,2100,486
2022-2023,025,5351,1646
2022-2023,026,5352,1311
2022-2023,027,5353,1531
2022-2023,028,5354,755
2022-2023,030,5357,1968
2022-2023,032,5254,7
2022-2023,033,5254,10
2022-2023,034,5254,6
2022-2023,036,3460,8
2022-2023,038,5254,9
2022-2023,040,7870,233
2022-2023,042,5225,1344
2022-2023,045,5420,40
2022-2023,047,5420,47
2022-2023,048,5388,752
2022-2023,049,5254,6
2022-2023,051,840,1404
2022-2023,052,5420,14
2022-2023,054,5300,1271
2022-2023,055,5254,8
2022-2023,056,5340,1531
2022-2023,057,5254,6
2022-2023,058,5420,42
2022-2023,061,5260,1890
2022-2023,062,5254,23
2022-2023,063,5420,287
2022-2023,064,5320,152
2022-2023,065,5250,4486
2022-2023,067,5254,4
2022-2023,068,5290,241
2022-2023,069,5254,6
2022-2023,071,5380,974
2022-2023,072,5254,7
2022-2023,073,5420,62
2022-2023,074,5420,16
2022-2023,075,5420,48
2022-2023,076,5330,2000
2022-2023,077,5254,4
2022-2023,079,5350,1175
2022-2023,080,5310,1497
2022-2023,081,5420,44
2022-2023,082,5254,7
2022-2023,083,5225,131
2022-2023,084,5358,1916
2022-2023,085,5254,6
2022-2023,086,5320,1143
2022-2023,087,5420,20
2022-2023,088,5254,4
2022-2023,091,5225,305
2022-2023,095,5390,1553
2022-2023,096,5420,13
2022-2023,097,5254,8
2022-2023,099,5400,1228
2022-2023,101,5360,1175
2022-2023,103,5254,8
2022-2023,104,5420,27
2022-2023,106,5370,1
2022-2023,110,5460,15
2022-2023,116,5225,534
2022-2023,128,5460,1
2022-2023,129,5225,1
2022-2023,133,5460,1
2022-2023,135,5460,104
2022-2023,140,5225,1834
2022-2023,141,5770,4
2022-2023,143,5460,98
2022-2023,146,5460,2
2022-2023,148,280,26
2022-2023,150,250,128
2022-2023,151,250,99
2022-2023,152,250,225
2022-2023,153,250,87
2022-2023,155,250,8
2022-2023,156,250,759
2022-2023,157,250,63
2022-2023,158,250,186
2022-2023,159,250,79
2022-2023,160,250,49
2022-2023,162,6047,57
2022-2023,163,690,1416
2022-2023,174,6100,1377
2022-2023,175,6120,165
2022-2023,176,6255,1
2022-2023,177,5420,10
2022-2023,178,5362,1166
2022-2023,179,5420,13
2022-2023,180,5363,1443
2022-2023,181,5254,7
2022-2023,182,5364,1399
2022-2023,183,5254,6
2022-2023,184,6100,113
2022-2023,188,5225,1
2022-2023,189,5420,9
2022-2023,190,5225,1413
2022-2023,191,5254,7
2022-2023,192,6360,195
2022-2023,193,6100,33
2022-2023,194,5460,40
2022-2023,199,6100,27
2022-2023,202,6100,34
2022-2023,204,6100,337
2022-2023,205,6100,353
2022-2023,270,6980,135
2022-2023,279,7100,410
2022-2023,280,7100,8099
2022-2023,281,7100,96
2022-2023,283,7120,91
2022-2023,284,5344,1499
2022-2023,285,5254,4
2022-2023,287,5420,43
2022-2023,290,860,151
2022-2023,291,7600,3731
2022-2023,292,870,97
2022-2023,293,855,34
2022-2023,295,6125,3
2022-2023,297,552,140
2022-2023,300,8860,390
2022-2023,302,954,13
2022-2023,305,7910,22
2022-2023,306,7760,1191
2022-2023,307,7760,125
2022-2023,308,7760,1573
2022-2023,309,3810,7
2022-2023,311,2665,367
2022-2023,312,4120,72
2022-2023,314,3100,134
2022-2023,315,7320,73
2022-2023,316,4180,5
2022-2023,317,3100,15
2022-2023,318,956,16
2022-2023,319,4250,30
2022-2023,321,971,26
2022-2023,325,8620,90
2022-2023,326,1700,291
2022-2023,327,8780,7
2022-2023,329,8820,7
2022-2023,331,7760,124
2022-2023,333,8880,321
2022-2023,337,511,25
2022-2023,338,515,71
2022-2023,339,8855,162
2022-2023,340,3560,194
2022-2023,342,968,58
2022-2023,343,959,18
2022-2023,347,3845,3
2022-2023,348,3720,178
2022-2023,349,5170,3
2022-2023,351,3850,3
2022-2023,352,8260,28
2022-2023,355,3835,4
2022-2023,356,8885,15
2022-2023,357,3125,46
