FY,CFIS/ORG Code,total_hours,weighted_avg_hourly_rate
2022-2023,5354,345541.25,49.82
2022-2023,5355,471291.25,51.34
2022-2023,5357,977432.0,50.85
2022-2023,5358,718440.5,52.37
2022-2023,5359,536007.75,51.06
2022-2023,5360,710020.5,51.81
2022-2023,5361,516712.25,54.3
2022-2023,5362,586061.75,61.71
2022-2023,5363,721671.5,55.73
2022-2023,5364,674699.75,53.21
2022-2023,5365,731256.0,55.25
2022-2023,5380,701025.75,55.3
2022-2023,5388,404513.0,95.23
2022-2023,5390,865541.0,57.64
2022-2023,5400,801402.25,53.66
2022-2023,5420,363276.0,60.24
2022-2023,5460,99919.25,52.35
2022-2023,5770,1593.25,31.73
2022-2023,6047,22923.5,94.88
2022-2023,6100,1882765.0,64.86
2022-2023,6120,90105.75,59.7
2022-2023,6125,4186.0,74.02
2022-2023,6255,428.0,57.46
2022-2023,6360,130131.5,68.33
2022-2023,6870,157450.0,54.44
2022-2023,6980,78865.5,45.98
2022-2023,7100,4878186.5,167.03
2022-2023,7120,33531.0,46.15
2022-2023,7300,28131.25,61.22
2022-2023,7320,36495.0,65.51
2022-2023,7350,1959258.0,52.62
2022-2023,7501,203166.0,58.26
2022-2023,7503,40070.5,60.21
2022-2023,7600,2761036.75,48.31
2022-2023,7730,3505241.75,130.33
2022-2023,7760,2166752.75,46.19
2022-2023,7870,123048.5,44.52
2022-2023,7910,18716.75,56.34
2022-2023,8120,84884.25,51.91
2022-2023,8140,45015.75,67.21
2022-2023,8260,18387.25,356.66
2022-2023,8570,1167905.0,43.4
2022-2023,8620,49114.25,53.66
2022-2023,8660,946724.5,60.37
2022-2023,8780,1837.0,52.32
2022-2023,8820,5151.0,49.7
2022-2023,8825,36.0,68.01
2022-2023,8830,5569.0,74.04
2022-2023,8860,319632.5,57.73
2022-2023,8880,278936.25,88.0
2022-2023,8885,9074.25,66.23
2022-2023,8940,218439.75,42.5
2022-2023,8955,887676.25,98.42
2022-2023,8960,515968.5,82.72
2022-2023,8965,106558.75,316.18
2022-2023,8966,186695.75,50.91
